setID,tk-ki,tk-ti,tk-km,tk-tm,tk-kf,tk-tf,dg-di,dg-gi,dg-dm,dg-gm,dg-df,dg-gf,vb-vi,vb-bi,vb-vm,vb-bm,vb-vf,vb-bf,th/f-thi,th/f-fi,th/f-thm,th/f-fm,th/f-thf,th/f-ff
setLabel,T/K Minimal Pairs - Initial K,T/K Minimal Pairs - Initial T,T/K Minimal Pairs - Medial K,T/K Minimal Pairs - Medial T,T/K Minimal Pairs - Final K,T/K Minimal Pairs - Final T,G/D Minimal Pairs - Initial D,G/D Minimal Pairs - Initial G,G/D Minimal Pairs - Medial D,G/D Minimal Pairs - Medial G,G/D Minimal Pairs - Final D,G/D Minimal Pairs - Final G,V/B Minimal Pairs - Initial V,V/B Minimal Pairs - Initial B,V/B Minimal Pairs - Medial V,V/B Minimal Pairs - Medial B,V/B Minimal Pairs - Final V,V/B Minimal Pairs - Final B,TH/F Minimal Pairs - Initial TH,TH/F Minimal Pairs - Initial F,TH/F Minimal Pairs - Medial TH,TH/F Minimal Pairs - Medial F,TH/F Minimal Pairs - Final TH,TH/F Minimal Pairs - Final F
prompt,Which word has the /k/ sound?,Which word has the /t/ sound?,Which word has the /k/ sound?,Which word has the /t/ sound?,Which word has the /k/ sound?,Which word has the /t/ sound?,Which word has the /d/ sound?,Which word has the /g/ sound?,Which word has the /d/ sound?,Which word has the /g/ sound?,Which word has the /d/ sound?,Which word has the /g/ sound?,Which word has the /v/ sound?,Which word has the /b/ sound?,Which word has the /v/ sound?,Which word has the /b/ sound?,Which word has the /v/ sound?,Which word has the /b/ sound?,Which word has the /th/ sound?,Which word has the /f/ sound?,Which word has the /th/ sound? ,Which word has the /f/ sound? ,Which word has the /th/ sound? ,Which word has the /f/ sound? 
targetSound,k,t,k,t,k,t,d,g,d,g,d,g,v,b,v,b,v,b,th,f,th,f,th,f
contrastSound,t,k,t,k,t,k ,g,d,g,d,g,d,b,v,b,v,b,v,f,th,f,th,f,th
folder,T:K Minimal Pairs - Initial,T:K Minimal Pairs - Initial,T:K Minimal Pairs - Medial,T:K Minimal Pairs - Medial,T:K Minimal Pairs - Final,T:K Minimal Pairs - Final,G:D Minimal Pairs - Initial,G:D Minimal Pairs - Initial,G:D Minimal Pairs - Medial,G:D Minimal Pairs - Medial,G:D Minimal Pairs - Final,G:D Minimal Pairs - Final,V:B Minimal Pairs - Initial,V:B Minimal Pairs - Initial,V:B Minimal Pairs - Medial,V:B Minimal Pairs - Medial,V:B Minimal Pairs - Final,V:B Minimal Pairs - Final,TH:F Minimal Pairs - Initial,TH:F Minimal Pairs - Initial,TH:F Minimal Pairs - Medial,TH:F Minimal Pairs - Medial,TH:F Minimal Pairs - Final,TH:F Minimal Pairs - Final
word1,can/tan,can/tan,biting/biking,biting/biking,back/bat,back/bat,dame/game,dame/game,batter/bagger,batter/bagger,bad/bag,bad/bag,van/ban,van/ban,kevin/cabin,kevin/cabin,carb/carve,carb/carve,thirty/furry,thirty/furry,bathroom/buffalo,bathroom/buffalo,ruth/roof,ruth/roof
word2,cap/tap,cap/tap,tattle/tackle,tattle/tackle,beak/beet,beak/beet,date/gate,date/gate,  ,wader/wager,bed/beg,bed/beg,vest/best,vest/best,river/rubber,river/rubber,curb/curve,curb/curve,thigh/five,thigh/five,bathtub/breakfast,bathtub/breakfast,wreath/reef,wreath/reef
word3,cape/tape,cape/tape,later/lacquer,later/lacquer,bike/bite,bike/bite,dawn/gone,dawn/gone,shudder/sugar,shudder/sugar,bud/bug,bud/bug,vroom/broom,vroom/broom,rivet/ribbit,rivet/ribbit,dob/dove,dob/dove,thin/fin,thin/fin,toothpaste/tofu,toothpaste/tofu,death/deaf,death/deaf
word4,car/tar,car/tar,petal/pickle,petal/pickle,height/hike,height/hike,deer/gear,deer/gear,baddy/baggy,baddy/baggy,did/dig,did/dig,vote/boat,vote/boat,hovel/hobby,hovel/hobby,drib/drive,drib/drive,thirst/first,thirst/first,earthquake/elephant,earthquake/elephant,with/whiff,with/whiff
