phonological_process,process_category,sound_a,sound_b,position,folder_name,folder_name_slash
Final Consonant Deletion,Syllable Structure,B,(deleted),Final,Final B Minimal Pairs - Final,B/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,B,(deleted),Initial,Initial B Minimal Pairs - Initial,B/(deleted) Minimal Pairs - Initial
Final Consonant Devoicing,Assimilation,B,P,Final,B-P Minimal Pairs - Final,B/P Minimal Pairs - Final
Cluster Reduction,Syllable Structure,BL,B,Initial,BL Cluster Minimal Pairs - Initial,BL Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,BR,B,Initial,BR Cluster Minimal Pairs - Initial,BR Cluster Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,CH,(deleted),Final,Final CH Minimal Pairs - Final,CH/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,CH,(deleted),Initial,Initial CH Minimal Pairs - Initial,CH/(deleted) Minimal Pairs - Initial
Stopping,Substitution,CH,B,Final,CH-B Minimal Pairs - Final,CH/B Minimal Pairs - Final
Stopping,Substitution,CH,B,Initial,CH-B Minimal Pairs - Initial,CH/B Minimal Pairs - Initial
Stopping,Substitution,CH,B,Medial,CH-B Minimal Pairs - Medial,CH/B Minimal Pairs - Medial
Stopping,Substitution,CH,D,Final,CH-D Minimal Pairs - Final,CH/D Minimal Pairs - Final
Stopping,Substitution,CH,D,Initial,CH-D Minimal Pairs - Initial,CH/D Minimal Pairs - Initial
Stopping,Substitution,CH,D,Medial,CH-D Minimal Pairs - Medial,CH/D Minimal Pairs - Medial
Stopping,Substitution,CH,G,Final,CH-G Minimal Pairs - Final,CH/G Minimal Pairs - Final
Stopping,Substitution,CH,G,Initial,CH-G Minimal Pairs - Initial,CH/G Minimal Pairs - Initial
Stopping,Substitution,CH,G,Medial,CH-G Minimal Pairs - Medial,CH/G Minimal Pairs - Medial
Stopping,Substitution,CH,K,Final,CH-K Minimal Pairs - Final,CH/K Minimal Pairs - Final
Stopping,Substitution,CH,K,Initial,CH-K Minimal Pairs - Initial,CH/K Minimal Pairs - Initial
Stopping,Substitution,CH,K,Medial,CH-K Minimal Pairs - Medial,CH/K Minimal Pairs - Medial
Stopping,Substitution,CH,P,Final,CH-P Minimal Pairs - Final,CH/P Minimal Pairs - Final
Stopping,Substitution,CH,P,Initial,CH-P Minimal Pairs - Initial,CH/P Minimal Pairs - Initial
Stopping,Substitution,CH,P,Medial,CH-P Minimal Pairs - Medial,CH/P Minimal Pairs - Medial
Deaffrication,Substitution,CH,SH,Final,CH-SH Minimal Pairs - Final,CH/SH Minimal Pairs - Final
Deaffrication,Substitution,CH,SH,Initial,CH-SH Minimal Pairs - Initial,CH/SH Minimal Pairs - Initial
Deaffrication,Substitution,CH,SH,Medial,CH-SH Minimal Pairs - Medial,CH/SH Minimal Pairs - Medial
Stopping,Substitution,CH,T,Final,CH-T Minimal Pairs - Final,CH/T Minimal Pairs - Final
Stopping,Substitution,CH,T,Initial,CH-T Minimal Pairs - Initial,CH/T Minimal Pairs - Initial
